Thread Count,Element Count,Throughput,Lookup Percentage,Iteration Percentage,Add Percentage,Remove Percentage
0,4,16384,20843,34,33,17,16
1,4,16384,20763,34,33,17,16
2,4,16384,20850,34,33,17,16
3,4,16384,20723,34,33,17,16
4,4,16384,20961,34,33,17,16
5,4,16384,20795,34,33,17,16
6,4,16384,20876,34,33,17,16
7,4,16384,20962,34,33,17,16
8,4,16384,20807,34,33,17,16
9,4,16384,21057,34,33,17,16
