Thread Count,Element Count,Throughput,Lookup Percentage,Iteration Percentage,Add Percentage,Remove Percentage
0,16,16384,56907,34,33,17,16
1,16,16384,56592,34,33,17,16
2,16,16384,56335,34,33,17,16
3,16,16384,56915,34,33,17,16
4,16,16384,56821,34,33,17,16
5,16,16384,56767,34,33,17,16
6,16,16384,58856,34,33,17,16
7,16,16384,58618,34,33,17,16
8,16,16384,56205,34,33,17,16
9,16,16384,56313,34,33,17,16
