Thread Count,Element Count,Throughput,Lookup Percentage,Iteration Percentage,Add Percentage,Remove Percentage
0,4,16384,21017,34,33,17,16
1,4,16384,21095,34,33,17,16
2,4,16384,20793,34,33,17,16
3,4,16384,20732,34,33,17,16
4,4,16384,20720,34,33,17,16
5,4,16384,20908,34,33,17,16
6,4,16384,20763,34,33,17,16
7,4,16384,20922,34,33,17,16
8,4,16384,20986,34,33,17,16
9,4,16384,20853,34,33,17,16
