Thread Count,Element Count,Throughput,Lookup Percentage,Iteration Percentage,Add Percentage,Remove Percentage
0,8,16384,40971,34,33,17,16
1,8,16384,41269,34,33,17,16
2,8,16384,40866,34,33,17,16
3,8,16384,40035,34,33,17,16
4,8,16384,40115,34,33,17,16
5,8,16384,40300,34,33,17,16
6,8,16384,40102,34,33,17,16
7,8,16384,40179,34,33,17,16
8,8,16384,40177,34,33,17,16
9,8,16384,40079,34,33,17,16
