Thread Count,Element Count,Throughput,Lookup Percentage,Iteration Percentage,Add Percentage,Remove Percentage
2,131072,1279,34,33,17,16
2,131072,1349,34,33,17,16
2,131072,1300,34,33,17,16
2,131072,1328,34,33,17,16
2,131072,1318,34,33,17,16
2,131072,1359,34,33,17,16
2,131072,1340,34,33,17,16
2,131072,1332,34,33,17,16
2,131072,1315,34,33,17,16
2,131072,1332,34,33,17,16
